SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1682,Wayanad,PAYAMPALLY JUNCTION.            .,"VILLAGE OFFICE,PAYAMPALLY PO,MANATHAVADY VIA,WAYANAD- 670646",Village Office,Phase-2
1683,Wayanad,"PAZHASSI PARK, MANANTHAVADY","TICKET COUNTER, PAZHASSI PARK, MANANTHAVADY-670645",Tourist Place,Phase-2
1684,Wayanad,PERIYA( NEAR VILLAGE OFFICE).,"VILLAGE OFFICE,PERIYA P O,PERIYA,WAYANAD -670644",Village Office,Phase-2
1685,Wayanad,POOKOT LAKE.,"DTPC,VYTHIRI P O,WAYANAD-673576",Tourist Place,Phase-1
1686,Wayanad,POSTOFFICE JUNCTION MANANTHAVADY                       ,"MANATHAVADY MUNICIPALITY OFFICE,MANATHAVADY                             P O,WAYANAD-670645",Municipal Office,Phase-1
1687,Wayanad,POZHUTHANA JUNCTION.,"PANCHAYATH OFFICE,POZHUTHA  P O,WAYANAD -673575",Panchayat office,Phase-1
1688,Wayanad,PULPALLY GP,"PULPALLY GP,PULPALLY",Panchayat office,Phase-2
1689,Wayanad,RARS AMBALAVAYAL,"RARS,AMABALAVAYAL P O,WAYANAD -673593",Govt Office,Phase-2
1690,Wayanad,SP Office Kalpetta,"Superintendent Of Police Puthoor Vayal (PO), Kalpetta, Wayanad - 673121",Govt Office,Phase-2
1691,Wayanad,Sub Collector Office Mananthavadi ,"sub collectors office and sub divisional magistrate court,mananthavady,Kerala 670645",Govt Office,Phase-2
1692,Wayanad,SULTHAN BATHERY- ,"KSRTC GARAGE,SULTHAN BATHERY,WAYANAD -673592",Bus stand,Phase-1
1693,Wayanad,"TAKE A BREAK, CHEENGERI","RECEPTION COUNTER, TAKE A BREAK, CHEENGERI, AMBALAVAYAL-673593",Govt Office,Phase-2
1694,Wayanad,THALAPUZHA TOWN.,"PANCHAYATH OFFICE,THALAPUZHA PO,THALAPUZHA,WAYANAD -670644",Panchayat office,Phase-1
1695,Wayanad,THARUVANA,"VILLAGE OFFICE,THARUVANA PO,THARUVANA,WAYANAD -670645",Village Office,Phase-2
1696,Wayanad,THEKKUTHARA,"PHC ,THEKKUNTHARA P O,THEKKUMTHARA,WAYANAD -673122",Hospital,Phase-2
1697,Wayanad,THIRUNELLY TEMPLE.,"DEVASWAM OFFICE,THIRUNELLY PO,THIRUNELLY,WAYANAD-670646",Public Place,Phase-2
1698,Wayanad,THRIKAIPETTA,"VILLEGE OFFICE,TRIKKAIPETTA P O,MEPPADY VIA,WAYANAD -673577",Village Office,Phase-2
1699,Wayanad,"TOWN SQUARE, S.BATHERY ","TICKET COUNTER, TOWN SQUARE (OPP.ST.MARY’S COLLEGE ) -673592",Park,Phase-2
1700,Wayanad,TRAFFIC JUNCTION,"SULTHAN BATHERY MUNICIPALITY,SULTHAN BATHERY,WAYANAD -673592",Municipal Office,Phase-1
1701,Wayanad,VALAD JUNCTION.,"VILLAGE OFFICE,VALAD P O,WAYANAD-670644",Village Office,Phase-2
1702,Wayanad,VAZHAVATTA,"PHC,VAZHAVATTA P O,WAYANAD-673122",Hospital,Phase-2
1703,Wayanad,VELLAMUNDA 10th mile                                      ,"POLICE STATION,VELLAMUNDA PO,WAYANAD -670736",Police Station,Phase-2
1704,Wayanad,VELLAMUNDA 8/4                                                                   ,"PANCHAYATH OFFICE,KATTAYAD P O,VELLAMUNDA 8/4,WAYANAD -670731",Panchayat office,Phase-1
1705,Wayanad,Vengappally Grama Panchayat,"Moorikkappu, Pinangode, Vengapally, Kerala 673121",Panchayat office,Phase-2
1706,Wayanad,VENNIYODE,"VILLAGE OFFICE,KOTTATHARA P O,WAYANAD-673122",Village Office,Phase-2
1707,Wayanad,VYTHIRI,"VYTHIRI THALUK HOSPITAL,VYTHIRI P O,WAYANAD- 673576",Hospital,Phase-1
1708,Wayanad,VYTHIRI,"SUPPLY OFFICE,VYTHIRI ,VYTHIRI P O,WAYANAD-673576",Govt Office,Phase-2
1709,Wayanad,Vythiri GP,"Grama Panchayath Office Vythiri, Near Wayanad Rd, Vythiri, Kerala 673576",Panchayat office,Phase-1
1710,Kannur, TH Iritty," TH Iritty,iritty high school road,keezhur,iritty,kerala-670703 ",Hospital,Phase-2
1711,Kannur, TH Koothuparamba," TH Koothuparamba,thalassery-coorg highway,kuthuparamba,kerala-670643",Hospital,Phase-2
1712,Kannur, TH Peravoor," TH Peravoor,puthussery road,peravoor,kerala-670673",Hospital,Phase-2
1713,Kannur, TH Peringome," TH Peringome,cherupuzha road,peringome p.o,peringome,kerala-670353",Hospital,Phase-2
1714,Kannur, THQH Thaliparamba," THQH Thaliparamba,near karimbam, taliparamba,kerala-670141",Hospital,Phase-2
1715,Kannur,Alakkode town,"Akshay center Alakode, Kanjamala Building ,Nr State Bank,Alakode Kannur 670571",Akshaya,Phase-2
1716,Kannur,Andallor,"andaloor temple office, Andalur , Village Dharmadam, Thalassery, Kerala 670661",Temple,Phase-2
1717,Kannur,Andamkovval near panchayth office,"Kunhimangalam Grama Panchayat Office,Andamkovval, Kunhimangalam P.O, Kerala, 670309",Panchayat office,Phase-2
1718,Kannur,ANGADIKKADAVU COLLEGE,"Ayyankunnu Panjayath office,Angadikadavu, Kerala 670706",Panchayat office,Phase-1
1719,Kannur,ANJARAKKANDY,"Akshaya,Ancharakkandy
  Thalassery - Irikkur Rd, Paduvilayi, Kerala 670612",Akshaya,Phase-2
1720,Kannur,Arakkal musuem,"Arakkal museum,Ayikkara Govt Hospital Rd, Near District Hospital, Ayikkara, Thavakkara, Kannur, Kerala 670013",Tourist Place,Phase-2
1721,Kannur,Aralam Farm,"Aralam, Kerala 670703",Govt Office,Phase-1
1722,Kannur,Brennen college,"1st Floor  Brennen college Office room,Brennen college Dharmadam - Melur Road, Dharmadam, Thalassery, Kerala 670106",University/College,Phase-2
1723,Kannur,CHAKKARAKKAL BUS STAND,"akshaya centre ,Chakkarakkal, Kerala 670613",Akshaya,Phase-1
1724,Kannur,CHALA TOWN,"Chembilod Village Office,Chala",Village Office,Phase-2
1725,Kannur,CHALAD,"Akshaya Centre,City Centre, Chalad
 Kannur - Alavil - Valapattanam Road, Chalad, Kannur, Kerala 670014",Akshaya,Phase-2
1726,Kannur,CHALODE TOWN/BUS STAND,"KSEB Assistant Engineer office, Bus stand, Chalode, Kerala 670595",Kseb office,Phase-1
1727,Kannur,Chanthappura near panchayath office,"Kadannapally Grama panjayath  Office Kadannappally, Kerala 670501",Panchayat office,Phase-2
1728,Kannur,CHAPPARAPADAVU PANCHAYAT OFFICE,"Chapparapadavu, Kerala 670581",Panchayat office,Phase-2
1729,Kannur,CHEMPERI TOWN,"Akshaya centre,Chemperi,Kannur,670632",Akshaya,Phase-2
1730,Kannur,Chengalayi near panchayath,"Chengalayi Panjayath office,Chengalayi P.O Kannur, Kerala 670631",Panchayat office,Phase-1
1731,Kannur,Cherukunnu & Kannapuram Village Office,"village office,Cherukunnu Thara Road, Near Bus Stop, Cherukunnu, Kerala 670301",Village office,Phase-1
1732,Kannur,Cherukunnu Thara,"kannapuram Panjayath office,Cherukunnu, Kerala 670301",Panchayat office,Phase-1
1733,Kannur,Cherupuzha bustand,"Grama panjayath Cherupuzha, Cherupuzha,P.O Kannur, Kerala 670511",Panchayat office,Phase-2
1734,Kannur,CHERUVANCHERY,"Akshaya centre,Cheruvanchery, Kerala 670650",Akshaya,Phase-1
1735,Kannur,CHILDRENS PARK NEAR NEW BUSSTAND PAYYANUR,"CHILDRENS PARK NEAR NEW BUSSTAND PAYYANUR,kerala-670307",Park,Phase-2
1736,Kannur,Chirakara,"CHIRAKKARA GHSS SCHOOL Thalassery - Coorg Hwy, Pallithazhe, Chonadam, Thalassery, Kerala 670101",School,Phase-2
1737,Kannur,CHIRAKKUNI,"Akshaya,Chirakkuni Palayad, Dharmadam - Melur Rd, Dharmadom, Kerala 670106",Akshaya,Phase-2
1738,Kannur,CHITTARIPARAMB TOWN,"Akshaya Centre,Chittariparamba Chittariparamba, 670650",Akshaya,Phase-2
1739,Kannur,CHITTARIPARAMBA GRAMA PANCHAYAT,"Panchayath Office Chittariparamba, Kolayad, Manantheri, Kerala 670650",Panchayat office,Phase-2
1740,Kannur,CHOKLI TOWN,"Panjayath office,Pookome – Chokli Rd, Chokli, Kerala 670672",Panchayat office,Phase-1
1741,Kannur,Chuzhali town,"Govt Higher Secondary School Chuzhali,Chuzhali P.O Kannur,670142",School,Phase-1
1742,Kannur,COLLECTORATE ,"Talap, Thavakkara, Kannur, Kerala 670002",Govt Office,Phase-1
1743,Kannur,"Department Of Teacher Education, Kannur ","Department Of Teacher Education, Kannur University,Mangattuparamba Campus, Dharmasala, Kerala 670567",University/College,Phase-2
1744,Kannur,Dhanlakshmi hospital junction,"Water Supply Division, Kuthuparamba Road, Thana, Kannur, 670012",Govt Office,Phase-1
1745,Kannur,Dharmasala-akshaya,"Akshaya centre,Dharmasala, Kerala 670567",Akshaya,Phase-1
1746,Kannur,DIET Palayad,"Railway Station-Chirakkuni Road, Palayad, Kannur, Kerala 670661",Govt Office,Phase-2
1747,Kannur,District Court Kannur,"Talap, Kannur, Kerala 670017",Court,Phase-2
1748,Kannur,DISTRICT HOSPITAL KANNUR,"Ayikkara Government Hospital Road, Burnacherry Post, Kannur, Kerala 670017",Hospital,Phase-1
1749,Kannur,EDOOR TOWN,"Malabar Hill Highway, Near Aralam Wild life Sanctuary, Payam, Edoor, Kerala 670704",Panchayat office,Phase-1
1750,Kannur,"Fisheris Complex, Mopla Bay","Fisheris Complex, Mopla Bay, Burnacherry, Kannur, Kerala 670013",Fisheries Department,Phase-2
1751,Kannur,General Hospiatal Thalassery,"National Highway 66, kannur, Opposite to Hotel Western, Palissery, Thalassery, Kerala 670101",Hospital,Phase-2
1752,Kannur,GOVT TALUK HOSPITAL PAYYANUR,"Annur Road, Payyanur, Kerala 670307",Hospital,Phase-2
1753,Kannur,"GOVT. GUEST HOUSE, KANNUR","Payyambalam, Kannur, Kerala 670001",Guest House,Phase-1
1754,Kannur,IRIKKUR TOWN,"village office,Irrikkur,670593",Village office,Phase-1
1755,Kannur,Iritty new bus stand,"Irrity taluk office new building.2nd floor,Unity commercial complex,Near karunya hospital, irritty-670703",Bus Stand,Phase-1
1756,Kannur,IRITTY OLD BUS STAND,"Akshaya centre,Old bus stand, Iritty, Kerala 670703",Akshaya,Phase-1
1757,Kannur,Kadachira,"Sub Registrar office Kadachira,Kannur Kerala-670621",Sub registrar office,Phase-1
1758,Kannur,Kadirur,"Panjayath office,Kadirur, Thalassery, Kerala 670642",Panchayat office,Phase-1
1759,Kannur,KADIRUR SC BANK ,"Kayalode Kadirur Rd, Penangimetta, Kerala 670649",Public Place,Phase-2
1760,Kannur,KAKKAYANGADU TOWN,"Muzhakunnu Grama panjayath,Iritty - Nedumpoil Rd, Kakkayangad, Kerala 670703",Panchayat office,Phase-1
1761,Kannur,kalliassery near panchayath,"Panjayath office,Kalliasseri, Kerala 670562",Panchayat office,Phase-1
1762,Kannur,Kambil town,"Village office Kolachery ,Kambil P.O,Kannur , Kerala 670601",Village Office,Phase-2
1763,Kannur,Kankol town,"Akshaya centre ,Cherupuzha Road,Kankole,Kannur Kerala 670307",Akshaya,Phase-2
1764,Kannur,KANNUR CITY,"IT lab, City HSS
  Kannur, Kerala 670001",School,Phase-2
1765,Kannur,KANNUR NEW BUS STAND,"Thavakkara, Kannur, Kerala 670001",Bus stand,Phase-1
1766,Kannur,KANNUR OLD BUS STAND,"District co operative  bank, Talap, Kannur, 670017",Bus Stand,Phase-2
1767,Kannur,Kannur University (Main Block) ,"Security cabin,ground floor,Thavakkara,Civil Station  P.O.,Kannur District ,Kerala-Pin : 670 002",University/College,Phase-2
1768,Kannur,kannur university palayad campus,"kannur university palayad campus-hostel Melur Rd, Palayad, Kerala 670661",University/College,Phase-2
1769,Kannur,Kannur University Tly campus,"Kannur University Campus, Palayad, Kerala 670661",University/College,Phase-2
1770,Kannur,Kannur University(Library block) ,"Ground floor,Thavakkara,Civil Station  P.O.,Kannur District ,Kerala-Pin : 670 002",Library,Phase-2
1771,Kannur,Karivellur town,"CHC,Karivellur, Kerala 670521",Hospital,Phase-1
1772,Kannur,Karthikapuram town,"Taliparamba Coorg Rd, Karthikapuram, Kerala 670571",Panchayat office,Phase-1
1773,Kannur,Karuvanchal town,"Taliparamba - Manakadavu - Coorg Rd, Karuvanchal, Kerala 670571",Public Place,Phase-1
1774,Kannur,KEEZHALLUR BANK KEEZHALLUR,"Kannur - Mattannur Road, Near Central Bank Of India, Kannur District, Keezhallur, Kerala 670702",Public Place,Phase-2
1775,Kannur,KEEZHPALLY TOWN,"Police Station Keezpally, Veerpad - Keezhppally Rd, Keezhpally, Aralam, Kerala 670704 ",Police Station,Phase-2
1776,Kannur,KELAKAM TOWN,"panjayath office ,Kelakam Malabar Hill Hwy, Kelakam, 670674",Panchayat office,Phase-2
1777,Kannur,KODATHI MOTTA,"Thaliparamba Police StationNEAR COURT, TALIPARAMBA, 670141.",Police Station,Phase-2
1778,Kannur,KOLACHERY TOWN,"Panchayath Office Kolachery, Kolachery P.O, Kannur Kerala 670601",Panchayat office,Phase-1
1779,Kannur,Kolassery,"Karayathu Narayanan smt library, Kolasseri, Thalassery, Kerala 670104",Library,Phase-1
1780,Kannur,KOLYAD TOWN,"Panjayath office,Kolayad, Kerala 670650",Panchayat office,Phase-1
1781,Kannur,KOOTHUPARAMB BUS STAND ,"Akshaya centre,Thalassery - Coorg Hwy, Kuthuparamba, 670643",Bus stand,Phase-1
1782,Kannur,KOOTHUPARAMB Village Office,"Panjayath office,Kuthuparamba, 670643",Village office,Phase-1
1783,Kannur,Korome Vayanasala,"Korome VayanasalaPeria Korome Rd, Valat, Kerala 670644",Library,Phase-2
1784,Kannur,KSRTC BUS STAND Kannur,KSRTC BUS STAND Kannur,Bus stand,Phase-1
1785,Kannur,KSRTC STATION PERUMBA PAYYANUR,"Edapally - Panvel Hwy, Perumba, Payyanur, Kerala 670307",Bus stand,Phase-2
1786,Kannur,KSRTC Thalassery Sub Depot,"KSRTC Thalassery Sub Depot Thalassery, Kerala 670104",Bus stand,Phase-2
1787,Kannur,KUDUKKIMOTTA TOWN,"Akshaya Centre,Kudukkimotta Kudukkimotta,670592",Akshaya,Phase-2
1788,Kannur,KULAM BAZAR,"akshaya centre, Muzhappilangad, Kerala 670663",Akshaya,Phase-1
1789,Kannur,KURUMATHU  PANCHAYAT OFFICE,"Kurumathur, Thaliparamba – Iritty Road, Kurumathur, Kerala 670142",Panchayat office,Phase-2
1790,Kannur,MAHE BRIDGE,"Mahe Bridge, Mahé, Kerala 673312",Police Station,Phase-1
1791,Kannur,Malapattam,"Malapattam grama panjayath office, Malapattam, Kerala 670631",Panchayat office,Phase-1
1792,Kannur,MALUR GRAMA PANCHAYAT,"Ward No 6, DNo 329, Karetta Kanjileri Maloor Road, Karetta, Kerala 670702",Panchayat office,Phase-2
1793,Kannur,MAMBARAM,"BSNL exchange Mambaram, Kerala 670622",Public Place,Phase-2
1794,Kannur,MANGATTIDAM GRAMA PANCHAYAT,"Kariyil,Nirmalagiri(po), Kuthuparamba, Kerala 670643",Panchayat office,Phase-2
1795,Kannur,mangattuparamba University Campus,"Morazha Kannapuram Rd, Mangattuparamba, Kerala 670567",University/College,Phase-1
1796,Kannur,MANJODI ,"Kerala Co-operative Bank Manjodi, Thiruvangadu, Thalassery, Kerala 670103",Akshaya,Phase-1
1797,Kannur,Manna,"manna co operative hospital ,Taliparamba, Kerala 670141",Hospital,Phase-2
1798,Kannur,Mathamangalam near panchayath,"Eramam-kuttur grama panjayath,Bazar, Mathamangalam, Kerala",Panchayat office,Phase-1
1799,Kannur,Mathil near to pancyath,"Kankol Alapadamba Grama Panchayath Office,Padiyottuchal - Cherupara - Thimiri - Perumbadavu Road, Mathil,  670307",Panchayat office,Phase-1
1800,Kannur,MATTANNUR BUS STAND,"Mattannur bus stand-municipality complex,Thalassery - Coorg Hwy, Indira Nagar, Mattannur, Kerala 670702",Bus Stand,Phase-1
1801,Kannur,MATTANNUR COURT,"Akshaya centre ,Mattannur, 670702",Akshaya,Phase-2
1802,Kannur,Mattannur Town square,"Mattannur-Maruthayi-Irikkoor Rd, Mattannur, Kerala 670702",Municipality office,Phase-2
1803,Kannur,MAYYIL TOWN,"Grama panjayath,Mayyil, Kerala 670602",Panchayat office,Phase-2
1804,Kannur,MEETHELE PEEDIKA,"Dharmadom service co-op bank,Dharmadam - Melur Rd, Dharmadom, Kerala 670106",Govt Office,Phase-1
1805,Kannur,Mele chambad,"Panniyannore Village Office
  Melechampad,Thalassery,Kerala-670694",Village Office,Phase-2
1806,Kannur,Mele Chokli,"BSNL exchange,Chokli, Kerala 670672",Public Place,Phase-2
1807,Kannur,MELE CHOVVA JUNCTION,"water tank, Mele chowa, kannur, 670006",Govt Office,Phase-1
1808,Kannur,MINI CIVIL STATION Talap,"Talap, Thavakkara, Kannur, Kerala 670002",Civi Station/Mini Civil station,Phase-2
1809,Kannur,MINI CIVIL STATION THALSSERY,"Thalassery Over Bridge, Palissery, Thalassery, Kerala 670101",Civi Station/Mini Civil station,Phase-2
1810,Kannur,"Mini Civil Station, Thaliparamba","Excise office, Court Rd, Taliparamba, Kerala 670141",Civi Station/Mini Civil station,Phase-1
1811,Kannur,"MINI CIVIL STATION,NEAR POLICE STATION ,KUTHUPARAMBA","MINI CIVIL STATION,NEAR POLICE STATION ,KUTHUPARAMBA 670643",Civi Station/Mini Civil station,Phase-2
1812,Kannur,Moonampalam,"CHC Irivery,Moonuperiya , Chakkarakkal Rd, Chakkarakkal, Kerala 670613",Hospital,Phase-2
1813,Kannur,MUNDERIMOTTA TOWN,"Akshaya Centre Munderimotta, Kerala 670592",Akshaya,Phase-2
1814,Kannur,Naduvil near panchayath," Panjayath office, Naduvil, Kerala 670582",Panchayat office,Phase-1
1815,Kannur,Narathu town,"Krishibhavan,Narath PO,Kannur, Kerala 670601",Govt Office,Phase-1
1816,Kannur,NAYANAR ROAD,"Eranholi grama panjayath,Chonadam, Thalassery, Kerala 670101",Panchayat office,Phase-2
1817,Kannur,OFFICE OF DISTRICT POLICE CHIEF,"Pink police ,Thavakkara, Kannur, Kerala 670001",Govt Office,Phase-1
1818,Kannur,Onakkunnu near panchayath,"Karivellur-Peralam Grama Panchayat,onakunnu,Karivellur, Kerala 670521",Panchayat office,Phase-1
1819,Kannur,Over burys folly park,"NH 66, Palissery, Thalassery, Kerala 670101",Tourist Place,Phase-2
1820,Kannur,PADIYOOR TOWN,"Panjayath office,Padiyur,Taliparamba,Kannur,Kerala,670703",Panchayat office,Phase-1
1821,Kannur,Pallikunnu,"Krishna Menon Women's College,Pallikkunnu, Kannur, Kerala 670004",University/College,Phase-1
1822,Kannur,PANOOR BUS STAND,"PNR HSS Panoor Byepass Road, Panoor, Kerala 670692",School,Phase-2
1823,Kannur,PANOOR TOWN,"Kerala Grameen Bank, Panoor, Kerala 670692",Public Place,Phase-1
1824,Kannur,Pappinseri Panchayath," Pappinisseri Panchayath, Kannur,670561",Panchayat office,Phase-1
1825,Kannur,Parassinikadavu Bus Stand,"morazha service co operative bank, Parassinikkadavu - Mayyil Rd, Parassinikadavu, Kerala 670563",Bus Stand,Phase-2
1826,Kannur,Pariyaram Medical College,"Government Medical College Kannur,Pariyaram MC Campus Road, Pariyaram,, Kannur, Kerala 670503",Hospital,Phase-1
1827,Kannur,Payambalam Beech,"Beach Police Station,Payyambalam, Kannur, Kerala 670001",Tourist Place,Phase-2
1828,Kannur,Payannur Min Civil Station ,"Payyanur, Kannur is 670307",Civi Station/Mini Civil station,Phase-1
1829,Kannur,payannur Municipality Office,"Payyanur, Kerala 670307",Municipal Office,Phase-1
1830,Kannur,payannur Old Bus Stand,"Payyannur old bs-Opposite MAS residency,Payyanur, Kerala 670307",village office,Phase-2
1831,Kannur,PayannurGandhi Park,"PayannurGandhi Park near saba hospital, Payyanur, Kerala 670307",Park,Phase-2
1832,Kannur,PAYYAMBALAM BEACH,"PAYYAMBALAM BEACH Office Payyambalam, Kannur, Kerala 670001",Tourist Place,Phase-2
1833,Kannur,payyannur old bus stand1,"payyannur old bus stand,payyannur,Kannur",Bus Stand,Phase-2
1834,Kannur,PAYYAVOOR BUS STAND,"Panjayath office,Payyavoor,Taliparamba,Kannur,670633",Bus Stand,Phase-1
1835,Kannur,Pazhayangadi Bus Stand,"AKSHAYA
  Ezhome Rd, Pazhayangadi, Kerala 670303",Bus Stand,Phase-2
1836,Kannur,PERALASSERY TEMPLE,"Mundalur, Peralassery,670622",Temple,Phase-1
1837,Kannur,PERALASSERY TOWN,"Akshaya centre, Peralassery, Kerala 670622",Akshaya,Phase-2
1838,Kannur,PERAVOOR NEW BUS STAND (Near to Peravoor gp),"Panjayath office,Peravoor, Kerala 670673",Bus stand,Phase-1
1839,Kannur,PERAVOOR OLD BUS STAND,"Block office ,Peravoor -670673",Block Office,Phase-2
1840,Kannur,PERAVOOR TOWN (Near to manathana village office),"Manathana co operative bank,Peravoor Peravoor ,670673",Public Place,Phase-2
1841,Kannur,Peringome panchayth,"Peringome Vayakkara Grama Panchayat Office,Peringome-Vayakkara Rd, Peringome, Kerala 670353",Panchayat office,Phase-1
1842,Kannur,Perumpa town," Nr: Punjab National Bank, Central Bazar, Payyanur, Kerala 670307",Akshaya,Phase-2
1843,Kannur,Pilathara Bus Stand,"Akshaya Centre,Pilathara 670504, Edapally - Panvel Hwy, Pilathara, Kerala",Akshaya,Phase-2
1844,Kannur,PINARAYI,"village office, Thalassery - Irikkur Rd, Pinarayi, Kerala 670649",Village office,Phase-1
1845,Kannur,PLAZA KANNUR ,"No 2, First Floor, Haji Buiding, Fort Road, near Railway Station, Kannur, Kerala 670001",Public Place,Phase-1
1846,Kannur,prabath junction,"DLC BSNL,Fortlight Complex ,Prabhath Junction, Kannur, Kerala 670001",Public Place,Phase-2
1847,Kannur,PUTHIYATHERU,"akshaya centre
  Puthiyatheru, Kerala 670011",Akshaya,Phase-2
1848,Kannur,"PWD Office/ Labour Court, Kannur","Edapally Panvel Highway (NH-17), South Bazar, Talap, Kannur, Kerala 670002",Govt Office,Phase-1
1849,Kannur,Ramanthali near to village office,"Panjayath office,Ramanthali, Kerala 670001",Panchayat office,Phase-1
1850,Kannur,RDO Office Tly,"Palissery, Thalassery, Kerala 670101",Govt Office,Phase-2
1851,Kannur,Snake Park,"Parassinikkadavu - Mayyil Rd, Parassinikadavu, Kerala 670563",Tourist Place,Phase-1
1852,Kannur,SREEKANDAPURAM TOWN,"Panjayath office,SREEKANDAPURAM TOWN,670631",Panchayat office,Phase-1
1853,Kannur,THALAP,"KRWSA - Jalanidhi - Regional Project Office, Kannur,Talap, Kannur, Kerala 670002",Govt Office,Phase-1
1854,Kannur,THALASSERY ENGINEERING COLLEGE,"Kundoormala, Eranholi, Thalassery, Kerala 670107",University/College,Phase-2
1855,Kannur,THILLANKERI,"Thillenkeri GP  Thillankeri P.O ,Kannur , Kerala 670702",Panchayat office,Phase-2
1856,Kannur,TLY Munciplaity Office Area,"MG Rd, Palissery, Thalassery, Kerala 670101",Municipal Office,Phase-1
1857,Kannur,TLY NEW BUS STAND 1,"BSNL tower room,Thalassery",Bus Stand,Phase-2
1858,Kannur,TLY NEW BUS STAND 2,"Commercial Tax officer,Thalassery New Bus Stand, TC Road, Pallithazhe, Pilakool, Thalassery, Kerala 670103",Bus Stand,Phase-1
1859,Kannur,TLY OLD BUS STAND,"BSNL exchange,Logans Rd, Palissery, Thalassery, Kerala 670103",Public Place,Phase-1
1860,Kannur,Town square,"Traffic police station 
  Thavakkara, Kannur, Kerala 670002",Govt Office,Phase-2
1861,Kannur,TUNDIYIL TOWN,"BSNL exchange,Thundiyil Thundiyil, 670673",Public Place,Phase-2
1862,Kannur,ULIKKAL BUS STAND ,"Panjayath office,Ullikal,Kannur,670705",Bus stand,Phase-1
1863,Kannur,URUVACHAL TOWN,"Mattanur co-operative Rural Bank,Uruvachal, 670702",Public Place,Phase-2
1864,Kannur,VANKULATHUVAYAL,"Akshaya Centre,City Centre,Vankulathuvayal
 Kannur, Kerala 670001",Akshaya,Phase-2
1865,Kannur,Vayalapra Tourist Place,"Office,Chempallikuntu-Anikkara-Ramapuram Road, Kerala 670501",Tourist Place,Phase-2
